Name,Width,Height,Depth,Artist,Country,Price,Category
Marilyn as Vicky Debevoise,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
Vincent goes Pop I - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Study for Across the Universe 2 - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Out of the circle,100,100,0.5,Ellen Novara-da Lima,Netherlands,"$2,710",Digitals
#1,30.5,30.5,2.5,Tara Knoll,,$235,Digitals
Arising the System Level,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #2133 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Modern World,21,21,0.3,João Pedro Fischer,Spain,$320,Digitals
Black Dahlia,48,60,0.1,Petra Brnardic,Croatia,"$3,450",Digitals
Vincent #594,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
Chubby Chicks,91.4,61,0.3,Aatmica Ojha,United States,$524,Digitals
Absence Lines - Fine Art 1/30(Signed and Numbered by Hand),150,100,1,Juca Máximo,Brazil,"$1,770",Digitals
Shades of Azul 025,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Portrait Colors XVI Infogravure 1/30(Signed and Numbered by Hand),100,150,5,Juca Máximo,Brazil,"$1,720",Digitals
Portrait XIII - Infogravure 1/30(Signed and Numbered by Hand),75,100,4,Juca Máximo,Brazil,$840,Digitals
WriterYourStory I - Infogravure 2/30(Signed and Numbered by Hand),100,75,0.2,Juca Máximo,Brazil,$840,Digitals
Nuances V,100,100,4,Carla Sa Fernandes,Portugal,$715,Digitals
Portrait XIV - Infogravure 1/30(Signed and Numbered by Hand),75,100,4,Juca Máximo,Brazil,$840,Digitals
Autonomous Control,71.1,55.9,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #1724 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Girls a,30,40,1,Tatiana Trippett,United Kingdom,"$1,380",Digitals
Vincent #2517 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Pink Palace - Limited Edition of 5,45.7,61,0.3,Allison Bagg,United States,$545,Digitals
Print “All About Love”,40.6,40.6,0.1,Katalin Macevics,United Kingdom,$217,Digitals
LEGEND,144,100.1,1,Anne Gracia,France,"$1,130",Digitals
Patchwork Saxophones - Limited Edition of 1,70.6,72.1,0.3,Massimo Magee,United Kingdom,"$2,740",Digitals
#MakeItBlue - Shape of Emotion,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Beauté du XVIIIe siècle 4,127,147.3,2.5,Agent X,Canada,"$3,560",Digitals
Vincent van Gogh 1,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Dead Vincent #2,30,30,0.3,Astrid Stoeppel,Germany,$750,Digitals
With the disappearing family_08,170,110,0.3,BONGUK LEE,South Korea,"$6,350",Digitals
Owotorufa,81.3,121.9,0.3,Donald Okudu,Nigeria,"$2,710",Digitals
The Waves within The Waves #9,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
Intense I  Infogravure 2/30(Signed and Numbered by Hand),75,100,5,Juca Máximo,Brazil,$840,Digitals
Vincent goes Pop VIII - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Mountains,50.8,76.2,2.5,Oscar Gml,Mexico,$370,Digitals
Vincent #1835 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Nuances XLV,120,120,4,Carla Sa Fernandes,Portugal,"$1,010",Digitals
Vincent van Gogh 10 -Happy,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
The Other Avatars Vincent #1785,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
The Skull and the Bees (Vincent #321),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Summer Night Portrait,29,42,1,Alexandre Odikadze,,$320,Digitals
Nuances VII,80,80,4,Carla Sa Fernandes,Portugal,$500,Digitals
Marilyn as Rose Weston,147.3,147.3,2.5,Agent X,Canada,"$3,460",Digitals
Nuances XLVII,120,120,4,Carla Sa Fernandes,Portugal,"$1,730",Digitals
EPHEMERAL II,78,73.9,4.1,Anne Gracia,France,"$1,710",Digitals
Juxtaposition - Diptych,125,125,3,Lynne Godina-Orme,Australia,"$1,500",Digitals
Bird woman,48,48,0.5,Feyza Soydan Yazici,Turkey,$480,Digitals
Majorelle Gardens #1,60,60,0.1,Vasco Grilo,,$190,Digitals
Two sides of my Consciousness,91.4,45.7,0.3,Nipun Mohan,India,$430,Digitals
The Other Avatars Vincent #1633,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
The Skull and the Sunny Cityscape (Vincent #2027),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
Nuances X,90,90,4,Carla Sa Fernandes,Portugal,"$1,000",Digitals
Activity - Limited Edition of 1,43.2,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Hip hop tiger in the gold and green tropical jungle,21,29,0.1,Sarah Manovski,,$160,Digitals
"tropical blue and white, framed",91.4,91.4,2.5,Dennis Stevens,United States,"$3,160",Digitals
The Other Avatars Vincent #2042,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
Vincent goes Pop XVII - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Minty Fudge - Limited Edition of 5,81.3,121.9,0.3,Donald Okudu,Nigeria,"$2,710",Digitals
Classes - Limited Edition of 1,50.8,71.1,0.3,Rachelmauricio Castro,Brazil,$690,Digitals
Quarantena - No 028,59.4,84.1,1,Steve Kalinda,United Kingdom,$710,Digitals
Evolutionary Algorithms - Limited Edition of 1,43.2,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent goes Pop IV - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Kama in the West,101.6,50.8,0.5,Nipun Mohan,India,$636,Digitals
Shape of Emotion 01,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
The Hotel Pool,75,100,2,Mr STRANGE Jean-Marie GITARD,France,$560,Digitals
Sequences and Scores,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Shades of Blue 094,59.4,84.1,0.1,Steve Kalinda,United Kingdom,"$1,140",Digitals
The Waves within The Waves #8,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
Process_Autonomy,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #1030 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Portrait XII - Infogravure 1/30(Signed and Numbered by Hand),75,100,4,Juca Máximo,Brazil,$840,Digitals
I love Vincent - Limited Edition of 1,59.9,59.9,2.5,de Miramon alice,France,$500,Digitals
Write 2 - Infogravure 1/30(Signed and Numbered by Hand),75,100,2,Juca Máximo,Brazil,$840,Digitals
Intense II - Infogravure 1/30(Signed and Numbered by Hand),75,100,4,Juca Máximo,Brazil,$840,Digitals
Piano Air,213.4,320,0.3,Paris Tremayne,Australia,$875,Digitals
Vincent goes Pop III - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Vincent van Gogh 8,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
Shades of Azul 877,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Beauté du XVIIIe siècle 2,127,147.3,2.5,Agent X,Canada,"$3,560",Digitals
MEDUSA #6,121.9,121.9,0.3,Serge Tardif,Canada,"$1,430",Digitals
Write IV - Infogravure 1/30(Signed and Numbered by Hand),100,75,4,Juca Máximo,Brazil,$840,Digitals
Psychosucculent 02,61,61,2.5,Erik Abel,United States,$140,Digitals
The Waves within The Waves #7,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
The Waves within The Waves #3,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
Marginal Dialects - Limited Edition of 1,70.6,72.1,0.3,Massimo Magee,United Kingdom,"$2,740",Digitals
Girls,30,40,2,Tatiana Trippett,United Kingdom,$940,Digitals
Regulate,75,100,1,Stephanie Derks,Netherlands,"$1,090",Digitals
Dynamic Worlds: Folding Clouds,40.6,61,0.3,Roberta Jean Smith,United States,$740,Digitals
Variety of Applications,43.2,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Respirer - Abstraction #186,100,100,3,Paslier Morgan,France,"$2,760",Digitals
Vincent goes Pop XI - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
Write VI - Infogravure 1/30(Signed and Numbered by Hand),150,100,4,Juca Máximo,Brazil,"$1,770",Digitals
vibrance emotions,90,120,0.1,yossi kotler,Israel,"$5,040",Digitals
Pandora,101.6,101.6,3.8,Irina Gretchanaia,Canada,"$1,060",Digitals
"The Other Avatars NFT, Vincent #754",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Sophie 2,50,50,0.1,René van den Berg,Netherlands,$325,Digitals
ARBO II,93,119.9,5.1,Anne Gracia,France,"$1,560",Digitals
MEDUSA #7,121.9,121.9,0.3,Serge Tardif,Canada,"$1,430",Digitals
Circle No.83,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Vincent with love - Limited Edition of 1,59.9,59.9,2.5,de Miramon alice,France,$500,Digitals
Shape of Emotion 06,59.4,84.1,1,Steve Kalinda,United Kingdom,"$2,240",Digitals
The Expert - Van Gogh - Limited Edition of 5,61,61,0.3,Ekow Brew,Ghana,$940,Digitals
Kama Reflects,101.6,50.8,0.3,Nipun Mohan,India,$700,Digitals
ORIGINAL EARTH II,91.9,91.9,4.1,Anne Gracia,France,"$1,810",Digitals
Vincent van Gogh 3,40,40,0.1,OSCAR ALVAREZ,Spain,$790,Digitals
The Other Avatars Vincent #629,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
The Waves within The Waves #12,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
The Waves within the Waves #10,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
The Skull and the Olive (Vincent #146),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
WHY NOT ?,80,80,2,Mr STRANGE Jean-Marie GITARD,France,$460,Digitals
Beauté du XVIIIe siècle 1,147.3,188,2.5,Agent X,Canada,"$5,250",Digitals
Nuances XXXI,120,100,4,Carla Sa Fernandes,Portugal,"$1,440",Digitals
Shades of Azul 312,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Dream Garden,76.2,114.3,0.3,Color out of Place,Canada,"$2,710",Digitals
Nuances IV,100,100,4,Carla Sa Fernandes,Portugal,$715,Digitals
Circle No.80,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Erotica,81.6,120,0.1,Constantinos Daldakis,Greece,"$1,140",Digitals
Portrait XV - Infogravure 1/30(Signed and Numbered by Hand),100,150,5,Juca Máximo,Brazil,"$1,770",Digitals
Application Environment,50.8,53.3,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Other Avatars Vincent #1586 - Limited Edition of 5,40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Nuances LVIII,100,120,4,Carla Sa Fernandes,Portugal,$835,Digitals
Van Go Pop 10 - Limited Edition of 10 Print,88.9,88.9,2.5,Agent X,Canada,"$1,110",Digitals
Beauté du XVIIIe Siècle 7,147.3,139.7,2.5,Agent X,Canada,"$3,560",Digitals
Data Compression - Limited Edition of 1,63.5,66,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
No Barriers - Limited Edition of 1,50.8,58.4,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Another Face,66,101.6,0.3,Dan Cristian Lavric,Romania,"$3,270",Digitals
Procesing No.10,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Circle No.86,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Circle No.75,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Le coeur des arbres - Abstract limited edition print on paper,91.4,61,0.3,Chantal Proulx,Canada,$415,Digitals
Procesing No.19,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Lost in space - 5108,70,70,1,Panos Pliassas,Greece,"$1,360",Digitals
You Take My Breath Away,121.9,152.4,3.8,Irina Gretchanaia,Canada,"$1,380",Digitals
goddess 28,99.1,132.1,3.8,Jason Lincoln Jeffers,United States,"$5,250",Digitals
Tropicalia,70,50,2,Jaume Serra Cantallops,Spain,"$1,140",Digitals
Endless Nights,70,50,2,Jaume Serra Cantallops,Spain,$495,Digitals
"Gaia, No. 5",33,48.3,0.3,Norm Yip,Canada,"$1,000",Digitals
Procesing No.33,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
"Burn, Baby, Burn",32,45,1,Petra Brnardic,Croatia,"$3,370",Digitals
Harboring Inaccuracies - Limited Edition of 1,55.9,68.6,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Interactive Nature - Limited Edition of 1,58.4,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Loop of Creation - Limited Edition of 1,45.7,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Poise,100,140,2,Stephanie Derks,Netherlands,"$1,140",Digitals
butterfly 43.,101.6,152.4,3.8,Jason Lincoln Jeffers,United States,"$6,300",Digitals
Vincent#2248 - Limited Edition of 1,38.6,38.6,0.3,Ernesto Navarro,Colombia,"$3,500",Digitals
Divine Decadence,37,55,1,Petra Brnardic,Croatia,"$3,840",Digitals
Blushing Beauty,96.5,121.9,3.8,Irina Gretchanaia,Canada,"$1,230",Digitals
Procesing No.4,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
goddess 29,99.1,132.1,3.8,Jason Lincoln Jeffers,United States,"$5,250",Digitals
Cannibaleah,61,80,0.1,Petra Brnardic,Croatia,"$2,576",Digitals
VanGogh Avatar Nº2 - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Procesing No.12,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Procesing No.11,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Illumination,48,60,0.1,Petra Brnardic,Croatia,"$3,370",Digitals
Broken Doll - Limited Edition 1 of 20,52,70,1,Petra Brnardic,Croatia,"$3,380",Digitals
Beams,34,34,0.2,Stefan Fransson,Sweden,$340,Digitals
goddess 22,121.9,121.9,3.8,Jason Lincoln Jeffers,United States,"$5,850",Digitals
Procesing No.23,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Extrusion # This is not me !,100,100,0.1,Paslier Morgan,France,"$1,180",Digitals
Cell Automata - Limited Edition of 1,50.8,55.9,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Glamour And Gore,45,60,0.1,Petra Brnardic,Croatia,"$3,360",Digitals
Wild is the wind,140,200,4,antonis dimitriou,Greece,"$3,770",Digitals
I'll Be Your Mirror (Lou Reed),50,70,0.2,Jaume Serra Cantallops,Spain,$740,Digitals
SuperNova (00001),38.1,38.1,0.3,Rozita Fogelman,United States,$290,Digitals
goddess 27,121.9,121.9,3.8,Jason Lincoln Jeffers,United States,"$5,850",Digitals
The Run,40,30,0.1,Delphine Lebourgeois,United Kingdom,$285,Digitals
Hollywood Babylon,50,60,0.1,Petra Brnardic,Croatia,"$3,520",Digitals
Melancholy Weimaraner cute Dog pet portrait human body by AI,162,162,0.1,Dmitri Matkovsky,Canada,"$1,059",Digitals
Teutonic Histrionic,44,60,0.1,Petra Brnardic,Croatia,"$2,970",Digitals
Diamond Pills,45,60,0.1,Petra Brnardic,Croatia,"$3,640",Digitals
Examination of Foliage - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Hedy,48,60,0.1,Petra Brnardic,Croatia,"$2,870",Digitals
Melancholy Staffordshire Terrier cute Dog portrait human body AI,162,162,0.1,Dmitri Matkovsky,Canada,"$1,159",Digitals
JTA0006-008,91.4,61,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
Mistikë - Limited Edition of 5,63,63,0.1,Steve Kalinda,United Kingdom,$810,Digitals
The Moon Inside Your Eyes,50,70,2,Jaume Serra Cantallops,Spain,$495,Digitals
Eve,30,40,0.1,Delphine Lebourgeois,United Kingdom,$285,Digitals
Starry Eyes,50,70,2,Jaume Serra Cantallops,Spain,$495,Digitals
Amulet Spider,21.6,14.7,1.3,Duc Ly,United States,$235,Digitals
Procesing No.3,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Follow your dream - Abstract limited edition print,61,61,0.3,Chantal Proulx,Canada,$380,Digitals
The Fisher King,40,40,1,Norman Clark,France,$420,Digitals
Entity,50.8,50.8,0.3,Martin Fry,United Kingdom,$935,Digitals
Circle No.77,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
The Two Whales,50,50,0.1,Mr STRANGE Jean-Marie GITARD,France,$340,Digitals
Quality Assurance - Limited Edition of 1,38.1,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Astralis,54,80,0.1,Petra Brnardic,Croatia,"$3,660",Digitals
Crypto McQueen 05_SOS_2022_Me,43.2,43.2,0.3,ANDY H JUNg,South Korea,$269,Digitals
Procesing No.8,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Auter Space - 3887,85,60,0.3,Panos Pliassas,Greece,"$1,360",Digitals
Extrusion # 33 minutes,100,100,0.1,Paslier Morgan,France,"$1,180",Digitals
Vincent #847 - Limited Edition of 1,80,80,3,Sait Mingü,Turkey,"$3,275",Digitals
Gathering of Witches,57,80,1,Petra Brnardic,Croatia,"$3,700",Digitals
"Emtyset 1, Unit 8",40.6,40.6,1.3,Danie Wood,Canada,$840,Digitals
Nasturtium 3,29,27,0.1,Mary Ruggeri,United Kingdom,$540,Digitals
Procesing No.13,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Processing Power - Limited Edition of 1,58.4,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Rato Picasso,76.2,76.2,2.5,Arthur Rodrigues,United States,"$3,210",Digitals
Picasso's and the sculpture,106.7,106.7,2.5,Arthur Rodrigues,United States,"$3,210",Digitals
Command Traffic - Limited Edition of 1,53.3,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Circle No.92,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
The Wave,91.4,61,0.3,Aatmica Ojha,United States,$524,Digitals
Fighter,39,54,0.1,Petra Brnardic,Croatia,"$2,890",Digitals
goddess 23,121.9,121.9,3.8,Jason Lincoln Jeffers,United States,"$5,850",Digitals
ExpLOsiVE. New Age of Explosive Love.,150,100,0.1,Ivana Dostal,Czech Republic,"$1,880",Digitals
1243 - Limited Edition of 1,69.8,80,0.3,José Luis Guerrero,Mexico,"$1,360",Digitals
Oz,103.6,164.6,0.3,Liz Mares,United States,"$3,477",Digitals
Dynamic Worlds II,40.6,50.8,0.3,Roberta Jean Smith,United States,$725,Digitals
Breakneck Speed - Limited Edition of 1,35.6,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vertigo,53,80,0.1,Petra Brnardic,Croatia,"$3,600",Digitals
Lava Lust,49,60,0.1,Petra Brnardic,Croatia,"$3,440",Digitals
Procesing No.21,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Procesing No.15,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Vincent #2270 - Limited Edition of 1,80,80,3,Sait Mingü,Turkey,"$3,275",Digitals
Acting Systematically - Limited Edition of 1,50.8,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #950 - Limited Edition of 1,80,80,3,Sait Mingü,Turkey,"$3,275",Digitals
Heartworm,100,150,0.5,Petra Brnardic,Croatia,"$3,670",Digitals
Black Siren,40,60,0.2,Petra Brnardic,Croatia,"$3,370",Digitals
Crypto McQueen 04_SOS_2022_Me,43.2,43.2,0.3,ANDY H JUNg,South Korea,$269,Digitals
Gleeful darkness 2ab,35.6,21.6,0.3,Edward Supranowicz,United States,$340,Digitals
"LEO ""ZODIAC"", Women Goddess Of Nature",40.6,50.8,5.1,AUGUSTO SANCHEZ,United States,$465,Digitals
Generative Aspect.,55.9,53.3,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Augmented Reality Van Gag - Limited Edition of 1,50,50,0.2,Francesca Fini,Italy,"$1,260",Digitals
Cognitive Topographs - Coloured Emotions_Empathy,88.9,71.1,0.3,Aatmica Ojha,United States,$525,Digitals
My Colorful Africa #29,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
Color Droplets!,61,91.4,0.3,Aatmica Ojha,United States,$470,Digitals
"Gaia, No. 8",33,48.3,0.3,Norm Yip,Canada,"$1,000",Digitals
Circle No.79,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Orgy,60,80,1,Petra Brnardic,Croatia,"$3,850",Digitals
"Emtyset 1, Unit 1",40.6,40.6,1.3,Danie Wood,Canada,$840,Digitals
My Colorful Africa #6,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
goddess 16,76.2,101.6,3.8,Jason Lincoln Jeffers,United States,"$3,710",Digitals
Energia - Limited Edition of 5,63.5,63.5,1,Steve Kalinda,United Kingdom,$810,Digitals
Rose 3,50,50,3,Claudio Javier Feldman Pincas,Belgium,"$1,360",Digitals
Woodoo,45,60,0.1,Petra Brnardic,Croatia,"$3,370",Digitals
FLOWERS,43.9,58.3,0.1,Vanda Parker,Australia,$350,Digitals
VG (Vincent #1083) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
Green Venus Virtual Sculpture - Limited Edition of 10 (1 left),50,70,0.2,Francesca Fini,Italy,$655,Digitals
"""groundfloor""",76.2,76.2,0,robert petrick,United States,$345,Digitals
Rider,91.4,61,5.1,Rinto Francis,India,$479,Digitals
Koan #2,70,50,0.1,Yancho Sabev,Belgium,$580,Digitals
Interactions Specified - Limited Edition of 1,55.9,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
VanGogh Avatar Nº1 - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Vincent #1176,20.3,20.3,0.3,Carlos Bruscianelli,United States,"$1,080",Digitals
goddess 20,101.6,76.2,3.8,Jason Lincoln Jeffers,United States,"$5,250",Digitals
Humanimal Anatomy no.4,63,95,0.1,Prapat Jiwarangsan,Thailand,$690,Digitals
Medusa,65,80,1,Petra Brnardic,Croatia,"$3,260",Digitals
ABSTRACT ART FACE FRAMED #051,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
NINA PORTRAIT,33,44.4,0.3,Hal Brandes,,$340,Digitals
Vivien Among Orchids,41,50,0.1,Petra Brnardic,Croatia,"$2,870",Digitals
Waikiki Tide/Paradise Regained,59,80,1,Petra Brnardic,Croatia,"$3,820",Digitals
Drink Gaze,45,55,0.1,Sheena Lennox,United Kingdom,$590,Digitals
Vincent#188 - Limited Edition of 1,38.6,38.6,0.3,Ernesto Navarro,Colombia,"$3,500",Digitals
Procesing No.27,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Demi Moore,50,70,0.1,ozkan celik,Turkey,$995,Digitals
Circle No.76,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Wondering 2,60,70,0.1,ageliki baka,Greece,$180,Digitals
Abstract in Red - 3461,90,60,2,Panos Pliassas,Greece,"$1,560",Digitals
goddess 33,121.9,121.9,3.8,Jason Lincoln Jeffers,United States,"$5,850",Digitals
VG (Vincent #346) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
Not today sweetheart,150,150,3,Kristina Kale,Croatia,"$8,710",Digitals
Lamees Lovebirds LLB2,39.6,62.2,0.3,Lamees Alhassar,Bahrain,$580,Digitals
JTA0001-004,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$7,510",Digitals
Amulet I,32.5,23.6,1.3,Duc Ly,United States,$235,Digitals
DEFECTED Limited Edition of 4,30,40,0.2,Sheena Lennox,United Kingdom,$590,Digitals
butterfly 40,76.2,114.3,3.8,Jason Lincoln Jeffers,United States,"$4,110",Digitals
KONG 3,18,27,0.2,Freegar Net,Mexico,$250,Digitals
Las Ramblas,40.6,61,0.3,Martin Fry,United Kingdom,$935,Digitals
06  01 09 2022   It is double pleasure ...,80,57,0.1,Algirdas Lukas,Lithuania,$170,Digitals
So a-Head,120,120,0.1,Burcu Kılıçer,Turkey,"$2,350",Digitals
Sophisticated Visual Results - Limited Edition of 1,53.3,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Red Queen,68,90,1,Petra Brnardic,Croatia,"$3,740",Digitals
